codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1074;2451;543;384;528;417;326;201;51;3804;8456;19552;21685;21873;16449;4812;96630,4;39
1075;1342;297;239;265;308;185;41;6;2080;5266;9787;16022;12407;3375;614;49552,0;37
1076;130;12;15;16;31;39;17;0;84;330;592;1612;2613;1394;0;6625,0;51
1077;194;40;20;49;28;39;13;4;281;442;1822;1464;2627;1072;382;8089,7;42
1078;1481;312;215;354;291;203;83;23;2184;4726;13094;15123;13602;6822;2210;57759,5;39
1079;820;156;72;117;157;163;108;48;1092;1583;4312;8164;10899;8875;4520;39444,3;48
1080;651;134;82;122;147;112;47;7;938;1804;4514;7644;7504;3854;665;26923,0;41
1081;729;130;109;133;173;129;43;13;910;2400;4918;8974;8639;3497;1225;30562,5;42
1082;625;150;124;123;121;74;28;5;1050;2728;4551;6292;4958;2296;475;22350,0;36
1083;910;194;140;190;215;116;48;5;1361;3091;7044;11175;7784;3974;491;34919,1;38
1084;844;200;125;173;179;112;49;7;1399;2745;6397;9294;7487;3981;701;32005,2;38
1085;388;91;47;91;73;61;22;3;635;1037;3384;3798;4074;1798;283;15009,0;39
1087;285;54;43;55;62;43;27;1;378;946;2035;3224;2881;2214;95;11773,0;41
1088;913;170;154;138;295;123;33;0;1188;3377;5119;15335;8255;2733;0;36008,0;39
1089;2138;521;289;485;455;280;94;13;3647;6368;17942;23686;18756;7704;1262;79364,1;37
1090;341;74;44;58;63;76;23;3;516;969;2162;3287;5070;1885;273;14163,0;42
1092;1584;338;237;294;346;255;107;8;2364;5214;10889;17973;17070;8746;751;63006,5;40
1093;4859;794;776;755;938;821;629;146;5558;17072;27935;48776;55007;51578;13870;219796,0;45
1094;753;142;95;142;183;121;60;12;991;2084;5240;9491;8086;4907;1137;31936,2;42
1095;814;188;122;164;155;129;51;5;1315;2694;6069;8034;8632;4205;480;31429,5;39
1096;1008;210;158;186;236;156;51;11;1473;3466;6898;12287;10421;4170;1042;39756,7;39
1098;1112;232;162;189;234;192;98;4;1626;3571;6977;12181;12895;8050;369;45670,7;41
1099;1514;292;226;341;345;191;111;8;2044;4981;12607;17924;12808;9123;740;60226,0;40
1100;134;18;11;14;35;32;21;2;129;248;530;1808;2125;1761;194;6795,1;51
1101;151;21;26;31;39;18;15;0;149;575;1146;2013;1232;1270;0;6385,6;42
1102;952;221;123;230;189;132;53;4;1548;2698;8518;9828;8823;4369;382;36165,9;38
1103;1812;433;282;520;365;145;62;5;3028;6196;19249;18985;9717;5116;481;62771,6;35
1104;467;95;81;91;93;74;30;4;662;1787;3366;4811;4948;2442;391;18406,5;39
1105;1680;368;271;371;379;204;74;12;2578;5961;13730;19726;13662;6101;1134;62893,9;37
1106;173;36;26;27;38;19;26;1;250;574;1001;1960;1295;2140;92;7312,4;42
1107;136;25;14;25;30;33;7;1;176;310;932;1572;2227;578;96;5891,3;43
1108;1181;193;150;192;208;241;134;63;1351;3300;7104;10816;16147;10988;5985;55691,0;47
1109;2219;533;368;585;441;214;74;4;3733;8092;21651;22912;14360;6049;379;77175,5;35
1110;140;23;21;25;25;39;5;2;163;454;930;1307;2586;442;171;6051,4;43
1111;124;26;13;26;26;23;8;1;184;289;973;1368;1511;693;89;5107,5;41
1112;411;97;57;101;95;41;15;4;682;1265;3726;4949;2739;1220;417;14998,6;36
1113;822;177;119;171;170;124;51;10;1240;2612;6328;8842;8291;4208;956;32476,5;40
1114;648;140;74;129;105;111;62;27;980;1628;4773;5460;7437;5084;2565;27927,0;43
1115;1336;292;235;309;262;173;57;8;2043;5169;11440;13615;11606;4663;773;49308,1;37
1116;499;106;34;102;90;103;61;2;743;750;3782;4689;6915;5012;190;22081,3;44
1117;148;44;12;33;24;24;12;0;309;259;1233;1223;1576;964;0;5564,2;38
1118;1264;239;153;241;284;224;102;21;1673;3366;8917;14768;15008;8364;1995;54091,0;43
1121;114;20;20;20;35;16;4;0;138;432;727;1840;1054;322;0;4512,8;40
1123;1138;243;143;221;241;190;95;4;1701;3152;8190;12514;12753;7809;389;46508,5;41
1124;664;114;94;116;148;126;63;4;801;2059;4283;7677;8434;5138;391;28782,0;43
1125;621;128;82;127;138;99;43;4;895;1808;4693;7176;6663;3495;386;25115,0;40
1127;507;101;46;98;104;112;41;6;706;1010;3619;5397;7489;3355;569;22145,3;44
1128;313;64;55;52;66;53;22;1;451;1212;1924;3407;3553;1791;99;12436,8;40
1129;266;44;34;35;70;54;27;2;310;752;1280;3649;3614;2181;211;11997,4;45
1130;2282;556;321;520;452;319;110;5;3891;7057;19241;23488;21369;8995;484;84523,7;37
1133;392;62;55;69;108;67;27;3;433;1214;2564;5625;4488;2251;289;16863,1;43
1134;1734;330;234;331;403;323;106;7;2307;5158;12239;20970;21615;8710;680;71678,0;41
