codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
25126;474;104;55;96;99;98;20;2;728;1210;3552;5148;6566;1640;190;19034,0;40
25127;2668;546;447;640;429;368;215;23;3819;9834;23684;22312;24679;17633;2175;104135,6;39
25129;114;22;11;23;20;23;14;1;154;242;851;1040;1541;1148;95;5071,0;44
25130;13;0;0;2;1;3;6;0;0;0;80;56;218;533;0;887,2;68
25131;120;21;20;21;31;21;8;0;145;432;767;1588;1389;626;0;4947,3;41
25132;129;26;20;30;31;15;5;0;185;447;1127;1637;1021;416;0;4833,9;37
25133;2054;370;274;311;482;410;187;19;2591;6022;11505;25085;27488;15373;1818;89879,8;44
25134;9;0;5;1;2;1;0;0;0;99;42;117;75;0;0;333,0;37
25136;511;94;84;94;125;90;23;1;656;1859;3465;6511;6002;1920;97;20508,2;40
25138;135;26;7;24;34;33;11;0;179;164;905;1769;2208;872;0;6095,2;45
25139;558;140;106;107;102;78;25;0;980;2332;3959;5304;5226;2050;0;19851,0;36
25141;133;16;33;15;32;29;9;0;109;723;564;1659;1920;726;0;5700,2;43
25142;318;77;43;86;57;29;22;4;536;950;3196;2960;1973;1771;373;11758,1;37
25143;213;47;35;42;48;24;17;0;329;781;1545;2498;1609;1370;0;8131,6;38
25145;120;20;15;21;21;32;10;2;139;327;771;1083;2126;813;188;5447,6;45
25147;1937;403;308;364;487;278;90;8;2820;6772;13455;25299;18621;7371;785;75124,8;39
25148;499;116;92;126;106;53;5;1;812;2024;4662;5512;3551;410;95;17066,0;34
25149;515;71;75;74;133;111;47;3;499;1657;2749;6933;7433;3839;290;23399,9;45
25150;292;70;38;71;51;53;7;2;489;826;2624;2657;3563;599;198;10956,3;38
25151;128;32;25;23;32;3;11;1;226;554;858;1677;203;909;96;4522,3;35
25152;147;39;33;33;23;19;0;0;273;726;1221;1196;1273;0;0;4689,0;32
25153;131;21;19;21;38;21;8;4;144;408;763;1985;1382;677;392;5751,6;44
25154;269;60;37;48;53;29;41;1;420;814;1776;2756;1943;3362;95;11166,0;42
25155;309;49;45;48;78;67;19;3;344;990;1779;4044;4456;1594;292;13498,8;44
25156;1229;244;182;229;248;215;99;13;1708;3994;8479;12881;14383;8130;1212;50787,0;41
25157;1307;251;254;269;265;178;85;5;1757;5588;9953;13780;11926;6970;475;50449,0;39
25159;1267;164;175;184;312;272;144;15;1151;3843;6806;16244;18245;11797;1464;59549,0;47
25160;737;167;97;173;159;113;23;5;1168;2138;6393;8270;7564;1908;466;27908,5;38
25161;33;6;4;7;10;6;0;0;42;88;259;520;402;0;0;1311,0;40
25162;200;46;27;48;44;30;3;0;325;600;1794;2311;2030;248;0;7309,1;37
25163;109;18;15;16;25;25;9;1;126;330;592;1300;1675;738;95;4856,0;45
25164;144;23;27;26;27;31;10;0;161;594;962;1404;2077;820;0;6018,0;42
25166;80;24;8;16;17;6;8;1;169;170;606;902;387;632;92;2958,1;37
25170;1277;257;168;224;259;213;134;21;1800;3694;8306;13474;14270;11014;2005;54561,6;43
25171;106;27;20;28;11;11;8;1;187;430;1028;589;758;675;98;3765,6;36
25172;218;45;33;45;44;34;16;0;317;727;1676;2306;2276;1316;0;8618,1;40
25173;156;23;16;27;44;24;19;4;159;348;986;2310;1588;1538;375;7304,4;47
25174;246;48;29;51;44;47;23;3;337;641;1895;2297;3162;1894;286;10511,7;43
25175;84;19;14;10;20;13;8;0;133;308;370;1040;871;656;0;3378,0;40
25176;315;90;44;68;52;51;8;2;630;968;2516;2704;3417;656;190;11081,0;35
25177;152;22;17;32;35;32;12;0;156;379;1200;1844;2173;997;0;6748,8;44
25178;135;33;17;24;24;24;12;1;229;383;886;1245;1605;982;103;5433,7;40
25179;59;11;9;11;15;6;7;1;76;195;400;767;395;564;93;2490,8;42
25180;116;25;16;22;32;15;7;0;172;346;800;1687;988;564;0;4557,4;39
25181;136;21;21;19;28;31;15;2;145;457;691;1458;2087;1192;197;6226,9;46
25182;88;21;4;18;18;15;9;2;149;89;674;947;1017;746;192;3813,3;43
25183;69;13;11;9;15;12;11;0;88;235;324;758;781;877;0;3063,2;44
25184;284;59;55;53;58;41;16;3;412;1206;1954;3005;2737;1307;284;10905,6;38
25185;65;11;10;12;18;7;6;1;77;220;444;936;469;492;95;2733,0;42
25186;1045;259;161;251;199;127;44;5;1810;3540;9271;10332;8521;3597;498;37569,1;36
25187;495;111;56;116;79;93;38;3;775;1239;4277;4110;6223;3079;282;19983,8;40
25188;754;137;98;149;204;125;41;0;962;2147;5510;10610;8344;3396;0;30970,0;41
25189;197;42;25;34;46;36;14;0;294;550;1258;2392;2412;1148;0;8054,0;41
25190;1635;313;202;314;336;292;163;16;2192;4434;11622;17451;19537;13340;1555;70131,1;43
25191;457;74;46;84;92;111;48;2;521;1019;3091;4763;7419;3962;191;20966,6;46
25192;172;32;26;37;45;22;9;1;224;572;1369;2340;1474;738;95;6812,0;40
25193;1903;366;321;379;346;304;173;14;2564;7063;14006;17996;20372;14156;1360;77517,6;41
25194;113;30;10;30;16;19;7;0;212;222;1120;839;1284;579;0;4256,7;38
25195;1473;331;324;307;251;176;81;3;2318;7138;11343;13077;11781;6604;280;52540,7;36
25196;1417;199;201;240;312;325;127;11;1396;4431;8890;16231;21790;10438;1070;64245,1;45
25197;615;90;88;106;131;129;66;4;633;1940;3932;6803;8656;5409;387;27760,4;45
25198;734;107;79;107;153;104;134;49;747;1730;3971;7982;6963;11025;4702;37119,2;51
25199;339;78;47;71;66;43;36;0;544;1029;2613;3409;2858;2927;0;13379,7;39
25200;1451;275;195;223;327;308;113;9;1924;4295;8240;17018;20640;9306;891;62313,2;43
25201;710;148;129;148;120;111;47;6;1038;2840;5488;6263;7426;3870;549;27474,8;39
25202;267;65;56;52;48;33;11;2;455;1232;1924;2496;2211;902;190;9410,0;35
25203;180;34;42;36;36;16;13;2;239;933;1340;1883;1040;1103;197;6733,4;37
25204;3021;549;525;530;625;411;291;91;3840;11551;19613;32477;27508;23854;8666;127509,7;42
25207;637;98;66;97;195;120;57;4;685;1457;3582;10123;8058;4680;387;28972,8;45
25208;177;40;20;34;37;32;14;0;280;440;1258;1924;2144;1148;0;7194,0;41
25209;129;35;23;20;26;17;6;1;247;510;746;1363;1148;496;96;4604,7;36
25210;155;38;16;35;33;31;1;1;266;352;1295;1716;2077;82;95;5883,0;38
25211;89;17;13;14;17;17;9;2;119;286;518;884;1139;738;190;3874,0;44
25212;2609;560;398;542;540;378;168;23;3920;8756;20054;28080;25326;13776;2185;102097,0;39
25213;718;181;91;169;134;112;27;4;1267;2002;6253;6968;7504;2214;380;26588,0;37
25214;503;97;58;93;102;121;31;0;681;1284;3450;5328;8099;2520;0;21362,4;42
25215;92;24;18;18;18;8;5;1;168;396;666;936;536;410;95;3207,0;35
25216;268;38;24;46;66;64;29;1;269;534;1684;3418;4269;2405;96;12674,9;47
25217;594;112;100;95;138;106;38;7;781;2193;3503;7152;7078;3106;663;24475,6;41
25218;151;40;24;39;27;14;4;3;280;520;1444;1389;964;337;293;5226,4;35
25219;630;163;90;143;103;84;41;6;1142;1982;5309;5345;5596;3338;590;23302,7;37
25220;586;125;85;128;97;93;50;7;874;1877;4735;5070;6260;4081;675;23572,0;40
25221;68;20;14;11;11;5;6;1;139;305;394;561;356;530;102;2387,6;35
25222;1550;344;251;341;310;205;91;8;2407;5514;12619;16136;13740;7488;738;58642,9;38
25223;338;57;33;52;60;74;57;5;398;723;1942;3099;4967;4674;483;16285,9;48
25224;825;145;95;159;158;170;94;4;1013;2099;5870;8193;11423;7729;381;36706,7;44
25225;191;43;27;42;39;25;12;1;304;600;1570;2049;1693;994;96;7307,5;38
25226;213;40;18;44;47;50;14;0;280;396;1628;2444;3350;1148;0;9246,0;43
25227;261;85;27;80;30;27;12;0;595;594;2960;1560;1809;984;0;8502,0;33
25228;3727;730;521;712;752;571;388;50;5113;11469;26361;39129;38281;31857;4791;157000,4;42
25229;366;84;47;75;68;63;25;4;586;1028;2773;3543;4239;2075;370;14614,7;40
25230;3222;551;394;548;627;571;495;35;3855;8674;20279;32615;38269;40607;3350;147650,2;46
25231;116;25;21;19;24;19;8;0;177;472;685;1267;1241;639;0;4482,1;39
25232;107;24;11;19;21;24;9;0;165;235;713;1113;1577;702;0;4504,7;42
25233;284;69;37;68;53;38;17;2;485;805;2526;2779;2519;1379;188;10682,2;38
25234;172;45;29;42;33;14;8;0;316;649;1564;1738;922;645;0;5833,3;34
25235;320;73;39;68;69;54;14;2;513;861;2512;3587;3637;1184;196;12488,8;39
25236;256;56;26;65;54;43;11;1;391;583;2395;2805;2892;885;93;10043,8;39
25237;2189;376;362;415;509;341;167;19;2629;7975;15344;26473;22874;13668;1812;90775,2;41
25238;158;35;19;37;37;25;4;0;247;421;1378;1936;1686;330;0;5997,0;38
25239;180;40;22;45;30;26;17;0;280;484;1665;1560;1742;1394;0;7125,0;40
25240;3100;597;517;629;697;409;231;20;4179;11375;23274;36222;27405;18942;1927;123323,9;40
25241;161;36;28;37;20;26;14;0;250;625;1363;1040;1763;1122;0;6162,2;38
25242;112;29;11;32;16;12;11;0;203;251;1189;809;834;935;0;4221,8;38
25243;779;181;130;157;140;79;70;22;1265;2868;5810;7292;5302;5708;2082;30327,0;39
25244;85;12;15;13;15;21;8;0;85;334;487;789;1424;664;0;3782,5;45
25245;1301;251;174;233;303;236;98;7;1755;3835;8603;15730;15821;8007;685;54437,1;42
25246;299;70;46;60;44;46;31;1;488;1023;2228;2307;3115;2512;100;11774,0;39
25247;92;23;8;24;12;14;12;0;158;172;905;611;918;963;0;3727,0;41
25248;568;120;94;132;111;64;36;10;843;2073;4885;5766;4281;2985;960;21792,7;38
25249;62;12;8;10;17;10;3;1;85;179;376;898;681;250;97;2566,4;41
25251;173;38;29;29;51;21;5;0;266;638;1073;2652;1407;410;0;6446,0;37
25252;112;28;13;28;20;17;6;0;196;286;1036;1040;1139;492;0;4189,0;37
25253;380;97;53;92;65;49;19;4;677;1172;3420;3395;3286;1578;384;13911,4;37
25254;1381;279;254;320;275;184;61;8;1953;5588;11840;14300;12328;5002;760;51771,0;37
25255;357;71;59;76;88;38;23;2;496;1309;2808;4588;2543;1851;195;13790,1;39
25256;904;213;152;221;157;113;42;6;1491;3344;8177;8164;7571;3444;570;32761,0;36
25257;272;45;59;44;70;38;14;2;318;1306;1610;3652;2518;1135;188;10727,7;39
25258;2340;449;426;431;504;322;188;20;3144;9382;15930;26187;21598;15443;1864;93548,0;40
25259;1936;418;345;413;362;232;151;15;2927;7582;15270;18835;15559;12395;1421;73988,8;38
25261;75;13;9;20;15;14;5;0;88;206;732;758;907;427;0;3118,8;42
25262;483;89;93;103;108;68;19;3;624;2052;3797;5605;4583;1530;295;18486,7;38
25263;242;53;45;59;49;29;4;3;370;984;2182;2538;1976;334;290;8673,4;36
25264;85;16;9;20;17;17;5;0;113;200;749;895;1153;415;0;3524,5;41
25265;1331;264;214;274;300;220;53;6;1848;4700;10138;15597;14752;4360;584;51978,3;39
25266;119;19;19;20;26;23;11;2;132;415;734;1341;1528;894;188;5232,0;44
25267;681;134;100;148;149;102;48;1;937;2197;5468;7737;6824;3930;95;27187,1;40
25268;122;24;16;17;29;19;17;0;169;347;623;1531;1268;1380;0;5318,6;44
25269;60;5;8;14;9;14;9;1;35;176;518;468;938;738;95;2968,0;49
25270;118;25;20;17;26;18;12;0;175;440;629;1352;1206;984;0;4786,0;41
25271;1656;344;308;359;322;202;112;9;2408;6776;13283;16744;13534;9184;855;62784,0;38
25273;217;56;30;53;43;20;13;2;389;656;1979;2246;1309;1096;195;7870,6;36
25274;340;55;56;76;66;56;27;3;386;1236;2820;3442;3763;2221;286;14153,6;42
25275;225;42;33;43;53;39;13;0;297;733;1605;2781;2636;1076;0;9127,1;41
25276;175;38;21;30;31;37;16;1;268;465;1116;1621;2493;1320;96;7378,2;42
25277;72;14;8;13;12;18;6;0;101;169;497;649;1222;472;0;3110,4;43
25278;567;135;96;119;99;84;30;4;946;2109;4405;5141;5610;2482;383;21076,9;37
25279;118;18;18;18;28;26;10;0;126;396;666;1456;1742;820;0;5206,0;44
25280;162;15;23;44;36;24;15;4;107;516;1621;1854;1638;1253;387;7376,6;46
25281;285;61;51;60;61;32;18;2;427;1122;2220;3172;2144;1476;190;10751,0;38
25282;727;198;98;174;106;101;47;3;1384;2148;6450;5529;6762;3857;291;26421,8;36
25283;71;14;9;17;8;12;11;0;99;192;647;398;805;896;0;3036,6;43
25284;5699;1294;877;1059;926;856;608;79;9058;19294;39183;48152;57352;49856;7505;230400,0;40
25285;1489;276;233;314;306;240;110;10;1931;5121;11620;15913;16067;9050;953;60656,7;41
25286;133;33;19;31;33;14;3;0;231;421;1142;1715;927;262;0;4697,6;35
25287;1647;383;203;341;338;244;123;16;2681;4458;12622;17588;16317;10061;1501;65227,9;40
25288;699;175;96;166;140;80;37;4;1228;2114;6130;7292;5386;3055;373;25576,4;37
25289;72;14;13;6;22;12;4;1;98;286;222;1144;804;328;95;2977,0;41
25290;94;22;6;22;22;10;10;0;157;135;832;1169;685;838;0;3815,2;41
25293;1226;334;174;313;242;108;53;3;2335;3824;11593;12578;7212;4313;294;42149,2;34
25295;278;42;35;60;58;60;19;2;296;776;2236;3038;4049;1569;191;12155,4;44
25296;797;187;118;182;161;101;41;7;1311;2598;6741;8363;6752;3339;677;29780,1;37
25297;186;52;33;44;28;23;6;0;365;725;1612;1437;1567;523;0;6228,3;33
25298;238;50;43;43;56;25;17;3;351;950;1598;2924;1682;1400;286;9191,6;39
25299;109;23;9;24;22;17;13;1;161;198;888;1144;1139;1066;95;4691,0;43
25300;280;77;38;67;46;38;12;2;542;829;2486;2383;2524;1002;193;9958,8;36
25301;829;202;146;179;151;92;52;7;1414;3212;6623;7852;6164;4264;665;30194,0;36
25303;225;63;35;54;43;21;9;0;441;770;1998;2236;1407;738;0;7590,0;34
25304;3632;676;676;715;700;607;226;32;4734;14870;26447;36417;40669;18500;3049;144687,4;40
25305;598;161;100;139;118;52;28;0;1124;2200;5139;6148;3476;2335;0;20422,0;34
25306;114;27;19;29;19;16;3;0;191;422;1082;997;1081;248;0;4021,3;35
25307;921;187;176;282;151;76;45;4;1309;3872;10434;7852;5092;3690;380;32629,0;35
25308;450;119;65;112;92;47;13;3;835;1420;4126;4782;3146;1043;279;15631,6;35
25309;1094;216;216;213;244;143;57;5;1512;4752;7881;12688;9581;4674;475;41563,0;38
25310;87;20;11;20;12;20;4;0;137;234;755;646;1368;291;0;3432,1;39
25311;201;45;25;42;40;33;15;1;316;539;1560;2090;2234;1206;93;8038,0;40
25312;71;12;15;15;17;9;5;0;82;321;540;860;586;399;0;2787,5;39
25313;191;31;24;41;39;35;20;1;217;528;1517;2028;2345;1640;95;8370,0;44
25314;262;73;32;63;39;43;11;1;511;704;2331;2028;2881;902;95;9452,0;36
25315;2997;456;424;472;658;613;305;68;3195;9325;17466;34233;41084;24986;6506;136794,3;46
25316;238;30;16;26;71;60;33;1;213;363;953;3715;4045;2669;96;12053,7;51
25317;260;68;28;59;53;31;20;1;475;607;2199;2759;2062;1653;101;9856,7;38
25318;1858;387;398;482;326;180;76;9;2712;8764;17834;16933;12028;6212;876;65360,7;35
25320;1198;247;201;281;227;161;74;7;1732;4429;10391;11795;10790;6039;653;45829,1;38
25321;4985;1021;855;1145;953;637;343;31;7150;18802;42347;49547;42708;28162;2915;191630,4;38
25322;400;70;60;80;86;84;18;1;492;1322;2964;4474;5646;1493;101;16491,0;41
25323;439;96;54;83;92;64;46;3;675;1197;3071;4806;4274;3765;285;18073,1;41
25324;167;47;21;38;25;18;15;3;331;462;1399;1311;1196;1206;299;6204,2;37
25325;233;54;37;47;37;37;20;0;380;818;1746;1932;2490;1647;0;9012,7;39
25326;534;101;84;104;122;94;26;2;708;1851;3855;6356;6310;2136;190;21407,1;40
25327;68;11;8;13;17;15;5;1;75;171;467;859;976;398;92;3038,6;45
25328;773;176;92;146;134;158;63;4;1232;2024;5402;6968;10586;5166;380;31758,0;41
25329;35;6;6;5;8;8;1;2;41;128;180;404;521;80;185;1539,0;44
25330;191;48;22;46;35;28;11;0;336;482;1699;1845;1888;941;0;7192,2;38
25331;238;60;49;48;45;21;15;0;420;1078;1776;2340;1407;1230;0;8251,0;35
25332;576;121;99;108;136;94;19;1;844;2170;3982;7048;6276;1553;95;21967,7;38
25333;334;61;49;64;62;64;33;2;430;1075;2365;3200;4258;2674;201;14203,0;43
25334;2183;452;432;392;400;278;177;52;3166;9498;14497;20792;18623;14525;4961;86062,3;39
25335;164;21;28;26;46;32;9;2;144;617;958;2413;2169;708;205;7212,8;44
25336;533;98;69;101;118;86;56;5;683;1517;3729;6122;5784;4628;497;22959,8;43
25338;92;15;14;12;17;23;10;1;105;308;444;884;1541;820;95;4197,0;46
25339;219;36;24;40;41;50;23;5;252;528;1480;2132;3350;1886;475;10103,0;46
25340;190;26;29;26;51;41;17;0;182;638;962;2652;2747;1394;0;8575,0;45
25341;171;35;30;33;31;30;12;0;245;660;1221;1612;2010;984;0;6732,0;39
25342;78;22;12;15;16;2;12;0;152;261;548;821;132;972;0;2886,0;37
25343;154;34;33;31;20;19;14;2;240;731;1154;1047;1281;1156;191;5799,7;38
25344;46;4;10;3;13;13;3;0;28;220;111;676;871;246;0;2152,0;47
25345;682;109;101;133;163;136;35;4;764;2223;4935;8459;9139;2900;384;28802,6;42
25346;173;34;21;31;37;27;18;5;241;454;1164;1942;1778;1451;467;7497,0;43
25347;806;207;130;190;156;87;35;1;1448;2870;7028;8107;5845;2832;96;28226,8;35
25348;581;151;94;165;95;55;18;3;1060;2072;6090;4932;3689;1472;282;19598,0;34
25349;521;132;82;137;78;52;34;6;924;1796;5054;4080;3463;2800;614;18731,6;36
25350;765;128;107;128;153;175;70;5;895;2355;4730;7945;11700;5710;494;33829,4;44
25351;222;54;38;44;37;36;13;0;377;839;1628;1932;2424;1043;0;8243,3;37
25354;161;35;24;31;32;18;18;3;245;528;1147;1664;1206;1476;285;6551,0;41
25355;61;23;9;17;6;4;3;0;158;195;619;307;264;242;0;1784,7;29
25356;4286;727;740;825;829;664;416;85;5088;16278;30529;43110;44476;34146;8059;181686,8;42
25357;807;200;142;194;149;96;24;3;1397;3120;7166;7732;6423;2005;279;28121,7;35
25359;173;21;27;35;32;42;11;5;144;595;1280;1687;2825;887;514;7931,0;46
25360;160;35;26;31;28;23;14;3;247;566;1163;1436;1531;1171;271;6385,7;40
25361;855;192;130;220;169;102;40;2;1347;2853;8134;8797;6855;3240;192;31418,2;37
25362;281;75;48;71;47;29;6;4;526;1064;2628;2462;1931;506;391;9508,7;34
25364;1775;294;390;291;349;257;134;60;2058;8580;10767;18148;17219;10988;5700;73460,0;41
25365;308;50;47;50;68;58;31;4;351;1032;1845;3546;3855;2567;385;13581,3;44
25366;192;36;20;41;55;32;8;1;251;438;1509;2845;2133;653;95;7922,7;41
25367;4819;846;694;866;947;876;521;69;5922;15268;32042;49244;58692;42722;6555;210445,0;44
25368;1464;308;227;284;330;216;94;5;2154;5003;10512;17141;14499;7685;481;57473,5;39
25369;165;34;28;42;23;28;7;2;239;620;1563;1203;1887;578;191;6282,1;38
25370;2158;352;279;387;504;449;168;19;2467;6142;14305;26213;30074;13751;1813;94765,2;44
25371;200;37;34;37;48;36;10;0;256;740;1352;2500;2384;788;0;8020,2;40
25372;284;42;39;41;77;58;26;1;295;850;1527;3997;3884;2134;95;12783,5;45
25373;44;10;6;13;5;3;6;0;68;142;476;279;216;528;0;1708,5;39
25374;542;116;87;100;116;93;25;5;812;1914;3700;6032;6231;2050;475;21214,0;39
25375;430;77;79;62;89;94;29;0;538;1734;2304;4604;6323;2393;0;17894,6;42
25376;147;27;25;28;30;23;13;1;192;539;1052;1580;1510;1045;93;6010,3;41
25377;222;60;15;61;49;22;13;2;419;335;2250;2530;1494;1081;193;8301,2;37
25378;361;74;29;89;63;73;30;3;518;634;3311;3262;4893;2446;293;15356,4;43
25379;71;12;10;9;23;14;3;1;83;217;328;1179;925;243;94;3068,8;43
25380;1196;192;308;319;259;82;37;0;1342;6784;11786;13450;5505;2994;0;41861,1;35
25381;2502;484;374;482;477;480;189;16;3388;8228;17834;24804;32160;15498;1520;103432,0;41
25382;579;145;73;117;127;95;19;3;1012;1610;4329;6624;6367;1559;271;21771,4;38
25383;280;39;38;56;75;46;22;4;273;836;2072;3900;3082;1804;380;12347,0;44
25384;96;23;9;20;21;12;8;2;163;200;748;1103;812;663;192;3881,4;40
25385;132;31;18;21;30;20;10;1;220;392;775;1580;1334;859;100;5259,0;40
25386;141;21;19;32;32;25;11;0;149;419;1201;1688;1649;918;0;6022,7;43
25387;405;91;54;87;80;70;20;1;639;1191;3236;4174;4714;1676;96;15727,4;39
25388;25395;4845;5067;4570;4357;4019;2189;349;33914;111482;169073;226544;269243;179536;33123;1022914,0;40
25389;114;25;16;25;25;15;7;1;175;352;925;1300;1005;574;95;4426,0;39
25390;396;89;91;88;81;36;9;1;625;2009;3268;4232;2394;732;94;13354,8;34
25391;177;31;30;31;52;13;21;0;215;653;1134;2725;861;1703;0;7290,6;41
25392;186;38;36;46;35;23;6;2;266;792;1702;1820;1541;492;190;6803,0;37
25393;557;109;63;115;111;125;31;3;763;1386;4255;5772;8375;2542;285;23378,0;42
25394;1501;312;200;295;377;238;75;4;2184;4400;10915;19604;15946;6150;380;59579,0;40
25395;1550;283;200;265;357;293;141;11;1978;4398;9801;18588;19662;11547;1029;67003,5;43
25397;2161;353;259;340;483;379;258;90;2471;5694;12565;25131;25383;21136;8525;100904,5;47
25398;107;31;16;25;24;8;3;0;218;342;936;1265;521;239;0;3521,3;33
25400;465;81;52;77;109;89;52;5;566;1142;2865;5646;5996;4247;475;20935,9;45
25401;28;3;4;6;5;5;1;2;23;95;239;280;361;88;205;1290,2;46
25402;27;5;3;5;4;3;6;2;34;64;178;201;194;474;183;1327,8;49
25403;2081;428;316;437;449;293;145;13;2998;6947;16173;23346;19635;11894;1219;82210,8;40
25404;93;16;11;23;15;17;12;0;111;239;842;772;1127;974;0;4064,3;44
25405;840;182;131;190;200;86;49;1;1272;2884;7048;10409;5785;4019;107;31524,7;38
25406;561;116;81;105;125;93;39;2;814;1783;3881;6495;6199;3218;200;22589,9;40
25408;58;8;5;9;12;17;6;0;58;114;345;646;1110;510;0;2783,0;48
25410;1361;251;225;260;300;203;116;6;1758;4941;9626;15625;13580;9509;575;55612,7;41
25411;6935;1162;1360;1510;1261;998;544;99;8131;29930;55876;65595;66876;44638;9399;280443,7;40
25413;1098;199;189;213;224;134;110;27;1394;4167;7899;11664;8978;9057;2582;45742,0;42
25414;127;30;22;29;32;7;8;1;207;476;1056;1638;462;646;94;4578,9;36
25415;335;62;29;77;53;79;31;4;434;638;2849;2756;5293;2542;380;14892,0;44
25416;183;21;14;26;35;53;32;2;150;315;946;1808;3562;2599;194;9573,3;52
25417;796;166;124;145;178;119;57;6;1163;2731;5372;9268;7983;4680;571;31767,9;40
25418;1260;253;182;233;268;231;82;10;1768;4010;8636;13933;15509;6723;983;51562,0;41
25419;100;15;12;17;22;31;3;0;104;257;630;1162;2067;262;0;4481,9;45
25420;156;24;8;26;48;26;20;5;165;166;945;2507;1774;1628;449;7634,5;49
25421;69;15;9;17;15;4;9;0;102;207;619;761;280;772;0;2741,2;40
25422;195;44;27;43;46;25;8;0;310;603;1599;2412;1695;691;0;7309,9;37
25424;1555;358;210;304;327;201;139;15;2503;4631;11254;17020;13495;11397;1435;61734,7;40
25425;433;101;59;113;105;44;10;1;707;1298;4181;5460;2948;820;95;15509,0;36
25426;359;71;37;65;82;76;24;3;495;813;2422;4283;5094;1991;301;15399,0;43
25427;386;78;60;70;81;72;17;7;549;1310;2607;4231;4853;1383;660;15592,8;40
25428;1638;266;197;282;353;266;258;16;1862;4334;10434;18356;17822;21156;1520;75484,0;46
25429;1501;306;232;288;346;240;77;11;2143;5112;10665;18009;16057;6338;1045;59368,5;40
25430;39;2;4;6;9;11;7;0;14;88;222;468;737;574;0;2103,0;54
25431;349;75;28;62;78;76;28;1;525;626;2312;4051;5073;2334;99;15018,8;43
25432;2129;449;395;442;404;288;139;11;3145;8697;16368;20987;19315;11412;1039;80963,1;38
25433;44;7;5;5;15;7;4;1;49;110;185;780;469;328;95;2016,0;46
25434;4413;735;678;721;893;788;505;93;5145;14916;26677;46436;52796;41410;8835;196215,0;44
25435;163;31;31;30;42;20;10;0;216;678;1103;2171;1332;815;0;6314,3;39
25436;61;7;13;5;15;11;11;0;52;278;195;766;705;862;0;2856,5;47
25437;323;58;54;49;79;65;18;0;406;1188;1813;4108;4355;1476;0;13346,0;41
25438;949;187;147;186;223;143;59;5;1306;3238;6881;11607;9550;4798;479;37859,6;40
25439;253;68;20;48;52;44;17;3;475;450;1793;2687;2957;1412;307;10081,2;40
25440;376;77;68;67;83;50;31;0;539;1496;2479;4316;3350;2542;0;14722,0;39
25441;60;13;7;14;12;10;2;1;93;147;529;644;702;156;90;2361,0;39
25442;726;152;125;162;166;90;30;1;1062;2757;5995;8638;6049;2424;99;27023,8;37
25443;72;21;8;23;12;4;3;1;150;165;835;615;288;264;102;2420,1;34
25444;141;25;22;21;37;22;13;1;175;484;777;1924;1474;1066;95;5995,0;43
25445;126;31;14;27;19;22;8;3;220;313;1015;1004;1498;667;290;5006,5;40
25446;217;43;26;36;51;42;15;3;302;575;1345;2659;2816;1211;324;9232,2;43
25447;325;88;43;75;60;29;26;3;613;952;2792;3139;1955;2145;287;11883,1;37
25448;1527;340;245;300;393;173;72;4;2380;5390;11100;20436;11591;5904;380;57181,0;37
25449;127;38;13;23;24;18;9;2;266;286;851;1248;1206;738;190;4785,0;38
25450;87;20;11;17;18;18;2;0;142;245;636;947;1220;166;0;3355,6;39
25451;143;30;22;34;20;33;5;1;207;477;1241;1026;2181;404;94;5629,3;39
25452;468;107;63;110;106;57;24;2;749;1380;4072;5502;3786;1953;198;17640,4;38
25453;1421;269;203;277;278;212;166;15;1885;4459;10266;14448;14207;13626;1464;60356,8;42
25454;2066;410;303;409;441;338;156;9;2867;6674;15134;22927;22674;12761;864;83901,1;41
25455;198;37;27;37;39;45;13;0;259;594;1369;2028;3015;1066;0;8331,0;42
25456;246;73;39;61;49;16;9;1;508;848;2242;2530;1046;753;87;8012,4;33
25457;102;26;15;19;17;16;9;0;182;330;703;884;1072;738;0;3909,0;38
25458;219;46;38;40;44;37;14;0;322;833;1477;2288;2468;1175;0;8563,5;39
25459;296;70;39;70;65;32;17;4;488;850;2581;3382;2147;1391;358;11199,0;38
25460;245;54;34;62;43;41;11;0;381;746;2279;2240;2732;919;0;9296,4;38
25461;307;58;48;60;70;40;28;3;406;1056;2220;3640;2680;2296;285;12583,0;41
25462;17197;2958;3359;3384;3158;2697;1467;173;20706;73909;125205;164214;180723;120299;16454;701511,3;41
25463;4185;572;629;688;905;882;433;76;4004;13838;25456;47060;59094;35506;7220;192178,0;46
25464;135;34;24;27;30;16;5;0;236;517;984;1542;1096;419;0;4795,6;36
25465;195;46;23;39;27;50;10;0;322;506;1443;1404;3350;820;0;7845,0;40
25466;833;185;108;186;195;112;45;1;1293;2385;6896;10143;7532;3693;101;32041,5;38
25467;1965;337;285;320;450;404;154;15;2359;6264;11851;23421;27043;12593;1456;84986,2;43
25468;850;210;115;191;171;122;40;0;1473;2529;7076;8902;8203;3264;0;31446,5;37
25469;455;69;52;64;100;116;55;0;482;1141;2363;5189;7755;4500;0;21429,9;47
25470;156;23;24;29;31;38;7;3;164;536;1082;1622;2548;560;278;6789,9;44
